Zona,Región,Categoría,Nombre,Ubicación / Detalle / Acción
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,"D, Cazador de los Muertos.",Cerca de la Aldea de las Aguas Invocantes. Te avisa del peligro y te marca el portal hacia Gurranq.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Kit de creación,Cómpralo a Kalé. Vital.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de guerrero nómada,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de guerrero nómada,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de misionero,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Herramienta,Telescopio,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Herramienta,Antorcha,Vende Kalé. Cómprala para zonas oscuras.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Escudo de cuero grande,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Conjunto de cota de malla,Vende Kalé.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Consumible,Tarro agrietado,Vende Kalé (3 unidades).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Frente a la puerta,Ruinas al norte de la Iglesia de Elleh.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Melina,"Descansa en ""Frente a la puerta"". Acepta el trato para obtener a Torrentera."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Silbato de corcel espectral,Regalo de Melina.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Espadón de juramentado,Cofre en el carruaje al noroeste de las ruinas Frente a la puerta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Mapa,"Mapa: Necrolimbo, oeste",En el pilar brillante en las ruinas Frente a la puerta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Parches (Patches),Cueva de Aguanebula. ¡No lo mates! Perdónale la vida para que abra su tienda. Es vital para la misión de la Mansión del Volcán después.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Pisotón tormentoso,Sótano en ruinas Frente a la puerta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Cuchillo de afilar,Sótano en ruinas Frente a la puerta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Mayal,Cofre en el carruaje al noreste de las ruinas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,"Lago Agheel, norte",Al este de las ruinas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Renna (Ranni),Vuelve a la Iglesia de Elleh de noche tras tener a Torrentera.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Campana de invocación de espíritus,Regalo de Renna (Ranni).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de lobo solitario,Regalo de Renna (Ranni).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Boc el costurero,Sureste de Lago Agheel Norte. Rueda contra el arbusto parlante.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Determinación,Mata al escarabajo cerca del puente al sureste del lago.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Mapa,"Mapa: Necrolimbo, este","Bosque Brumoso, pilar brillante."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de guerrero nómada,"Oeste del mapa este, cerca de un oso rascando un árbol."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Golpe de tierra,"Al sur del manual anterior, mata al escarabajo."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Pozo del río Siofra,Edificio con ascensor en el Bosque Brumoso.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Ruinas del Bosque Brumoso,Suroeste del mapa este. Se oyen aullidos (Blaidd).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Evento,Aullido de Blaidd,"Al oírlo, vuelve con Kalé en la Iglesia de Elleh."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Chisquido de dedos,Regalo de Kalé tras hablar del aullido.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Blaidd,Usa el gesto bajo la torre de las ruinas para que baje. Agota diálogo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Talismán del hacha,Sótano de Ruinas del Bosque Brumoso.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Lágrima larvaria,Mata al noble errante que se transforma en oso rúnico (Este de Agheel Sur).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Caballero Sabueso Darriwil,Cárcel eterna del sabueso desolado. Invoca a Blaidd.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Colmillo de Sabueso,Drop de Darriwil.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Kenneth Haight,Sobre una ruina al noreste de las afueras del bosque brumoso.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de Fevor,"Al norte de Kenneth, subiendo la colina."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Tercera Iglesia de Marika,Al noreste del bosque.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Vial,Lágrima sagrada,En la Tercera Iglesia de Marika.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Vial de médika milagrosa,En la Tercera Iglesia de Marika.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Vial,Lágrima de cristal carmesí,En la Tercera Iglesia de Marika.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Hoja sagrada,Escarabajo colina arriba desde la Tercera Iglesia.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Catacumbas de la Muerte,Noroeste de Iglesia de Elleh.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Prattling Pate (Hola),En las catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de noble errante,En las catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Perro guardián funerario del Árbol,Jefe de Catacumbas de la Muerte.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de hechicero noble,Drop del Perro guardián.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cueva de la arboleda,"Norte de Iglesia de Elleh, en el acantilado."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Hombre bestia de Farum Azula,Jefe de Cueva de la arboleda.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Talismán con dragón de fuego,Drop del Hombre bestia.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Caballería nocturna,Puente al sureste de Lago Agheel Norte (solo de noche).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Embestida repetida,Drop de la Caballería nocturna.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Ruinas de la posta,"Sureste del lago, cruzando el puente."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Cabeza de calabaza demente,Sótano de Ruinas de la posta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Hechicera Sellen,Tras el jefe Cabeza de calabaza. Acepta ser su aprendiz.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Asentir con la cabeza,Habla con Sellen.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Hechizos,Varios de Sellen,"Guijarro, Estrellas, Arco, Barrera, Armamento de erudito."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Gran hacha,Cofre en la caravana cerca de Ruinas de la posta (para el carro).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Desenvainar,Escarabajo al sureste del lago Agheel (cangrejos).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Pergamino de la casa real,Campamento enemigo al sureste de Lago Agheel Sur (sobre edificio).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Gran espada (Estoc),Cofre en el mismo campamento.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Yura,Bajo un arco al oeste de Lago Agheel Sur.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Gravitas,"Baja al acantilado desde Ruinas costeras, mata al enemigo alto."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Talismán con dragón sacro,Cueva en la playa tras el enemigo de Gravitas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Puente del Sacrificio,Sur de Necrolimbo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Irina,Al pasar el puente del sacrificio. Acepta su carta.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Ruinas abrasadas por el dragón,Sur del lago Agheel.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Hoja doble,Sótano de las ruinas (salta muros con caballo).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Trampa,Cofre trampa a Caelid,Sótano con ratas en las ruinas. Te lleva a Mina de cristal de Sellia.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Dragón volador Agheel,Centro del lago Agheel.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Corazón de dragón,Drop de Agheel.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Troll excavapedras,Túneles de Necrolimbo (Noroeste del lago).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Medallón de rugido,Drop del Troll.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Invasor,"Nerijus, Dedo Sangriento",Río al norte de Lago Agheel. Yura ayuda.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Reduvia,Drop de Nerijus.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cueva de Agua Muria,Río donde sale Nerijus.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Parches,NO LO MATES. Ríndete cuando pida piedad.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Pedir piedad,De Parches.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Grillete de Margit,Vende Parches.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Trampa,Cofre de Parches,Te teletransporta al Bosque Brumoso.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,¡Calma!,Vuelve con Parches tras la trampa.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Catacumbas de Agua Muria,Final del río.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Duelista guardián de las tumbas,Jefe de catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de caballero proscrito Engvall,Drop del jefe.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Centinela agreste,El caballero dorado al inicio del juego.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Alabarda dorada,Drop del Centinela agreste.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Pisotón barrido,Playa al oeste de Iglesia Elleh (escarabajo invisible).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Comerciante,Mercader de la costa,"Playa oeste, bajo una ruina."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cueva costera,Playa oeste.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Jefes semihumanos,Cueva costera.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Aguja de costura,Drop de jefes. Dásela a Boc en la cueva.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Herramientas de sastrería,Drop de jefes.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Iglesia de la Comunión Dragontina,Cruza la Cueva costera para llegar a la isla.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Vial,Semilla dorada,Árbol dorado en el camino al castillo (Velo Tormenta).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cabaña en Colina Tormentosa,Antes del castillo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Caballero Bernahl,"Cabaña del Maestro de Guerra. Vende Cenizas de Guerra de combate físico (Pisotón, Tajo ascendente)."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Roderika,En la cabaña. Agota diálogo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Sentarse de lado,De Roderika.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de medusa espiritual,De Roderika.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Piernas cruzadas,Ruina romana al sur de la cabaña (sobre arco).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cabaña del Señor de la Guerra,Este de Colina Tormentosa.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Bernahl,Vende cenizas de guerra.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Invasor,Cazador de esferas,Aparece de noche en la cabaña de Bernahl (Jefe difícil).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,Alexander (Tarro),Atascado en el puente al este. Golpéalo fuerte por detrás.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Gesto,Deleite,De Alexander tras liberarlo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Puente de los Santos,Este de Alexander.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,NPC,"D, Cazador de los muertos",Cerca del cementerio al este del puente de los Santos.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Aldea de las aguas invocadoras,Este de Necrolimbo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Barquero tibial,Jefe en la aldea (barca).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Raíz mortuoria,Drop del Barquero.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de esqueleto militante,Drop del Barquero.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Talismán de tortuga verde,Sótano en la aldea (necesita llave espada pétrea).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Invasor,Henricus el recusante,Cerca del Coliseo al norte de la cabaña del señor de la guerra.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Talismán de martillo,Drop de Henricus.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Ave de la muerte,Sureste de Cabaña del Señor de la Guerra (noche).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Espada de rama azul,Drop del Ave.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Catacumbas de la muerte,Cerca del Puente de los Santos.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Equipo,Uchigatana,Dentro de las catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Asesina de los Cuchillos Negros,Jefe de catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Daga carmesí de asesino,Drop de la Asesina.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Raíz mortuoria,Cofre tras la Asesina.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Cueva de la gran vía,Norte del Puente de los Santos (baja al río).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Gólem guardián,Jefe de la cueva.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Amuleto de bailarina azul,Drop del Gólem.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Manual,Manual de armero,Campamento al suroeste de Costa de Agua Muria.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Pintura,Instinto de retorno,Cabaña del artista (Este).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Tumba del héroe de los Faldones,Inicio del juego (necesita 2 llaves).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Talismán,Favor del Árbol Áureo,En la Tumba del héroe (zona del puente estrecho).
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,Espíritu del árbol ulcerado,Jefe de la Tumba del héroe.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza,Cenizas de caballero proscrito Oleg,Drop del espíritu.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Jefe,"Margit, el Augurio Caído",Entrada al castillo.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Bolsa de talismanes,Drop de Margit.
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,Lugar,Mesa Redonda,Acceso tras hablar con Melina o descansar fuera de Necrolimbo.
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,NPC,Corhyn,Vende encantamientos.
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,NPC,Diallos,Habla con él.
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,NPC,Fia,Deja que te abrace (da bendición y debuff de vida).
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,NPC,D,Enséñale la raíz mortuoria. Marca el portal al Santuario de la Bestia.
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,Gesto,¿Qué quieres?,Habla con Ensha (el de la armadura de huesos).
Necrolimbo (Limgrave) y Península del Llanto,Mesa Redonda,NPC,Hechicero Rogier,En el altar de la capilla dentro del Castillo. Habla con él antes de vencer a Godrick para asegurar su misión.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Lugar,Castillo de Velo Tormenta,Entrada principal (Gostoc te aconseja ir por el hueco).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,NPC,Gostoc,Portero. Roba runas si mueres. Vende cosas.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Equipo,Garras de gancho,Sótano con exiliados (ruta del acantilado).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Talismán,Talismán de espada curva,Habitación oscura con caballero desterrado (Banished Knight).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Llave oxidada,Misma habitación.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Lugar,Torre de la muralla,Lugar de Gracia.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Talismán,Talismán con garra,"En una torre exterior, subiendo escalera con pájaros."
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Cuchillo de afilar de hierro,Sala tras puerta de niebla (necesita llave).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Equipo,Misericordia,Sala tras puerta de niebla.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Equipo,Escudo de madera de blasón de halcón,Sala tras puerta de niebla.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,NPC,Hechicero Rogier,En la capilla dentro del castillo. Vende cenizas.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Velo mimético,Habitación con caballero desterrado (piso superior).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Jefe,Vástago injertado,En el comedor/cocina.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Recuerdo de las crisálidas,Sobre pila de cuerpos cerca del Vástago. Dáselo a Roderika.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Sello,Sello de la Deicida,Sótano cerca del patio (necesita llave).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Manual,Devocionario de la piel divina,Mismo sótano.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Lugar,Cámara de al lado del elevador,Lugar de Gracia.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Jefe,Espíritu del árbol ulcerado,Foso debajo del castillo (ruta secreta).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Talismán,Pústula del Príncipe de la Muerte,Tras el jefe del foso (cara gigante).
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,NPC,Nepheli Loux,Habitación cerca del troll gigante antes de Godrick.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Jefe,"Godrick, el Injertado",Jefe final del castillo.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Gran Runa de Godrick,Drop de Godrick.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Recuerdo del Injertado,Drop de Godrick.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Objeto Clave,Uva Shabriri,Sala del trono tras vencer a Godrick.
Necrolimbo (Limgrave) y Península del Llanto,Velo Tormenta,Lugar,Torre Divina de Necrolimbo,Acceso desde el puente del castillo (Leones). Activa la Gran Runa.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Península del Llanto,Sur del Puente del Sacrificio.
Necrolimbo (Limgrave) y Península del Llanto,Península,Jefe,Caballería nocturna,Cerca de la muralla del castillo (noche).
Necrolimbo (Limgrave) y Península del Llanto,Península,Arma,Mayal de jinete nocturno,Drop de la caballería.
Necrolimbo (Limgrave) y Península del Llanto,Península,Objeto Clave,Carta de Irina,Entrégasela a Edgar en el Castillo de Morne.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Castillo de Morne,Extremo sur.
Necrolimbo (Limgrave) y Península del Llanto,Península,NPC,Edgar,En una torre del castillo. Dale la carta.
Necrolimbo (Limgrave) y Península del Llanto,Península,Equipo,Claymore,Patio del castillo (pila de cadáveres).
Necrolimbo (Limgrave) y Península del Llanto,Península,Talismán,Talismán de espada de dos hojas,Torre trasera del castillo.
Necrolimbo (Limgrave) y Península del Llanto,Península,Jefe,Bastardo Leonino,Jefe del Castillo de Morne (playa trasera).
Necrolimbo (Limgrave) y Península del Llanto,Península,Equipo,Espadón de hoja injertada,Drop del Bastardo Leonino.
Necrolimbo (Limgrave) y Península del Llanto,Península,Mapa,Mapa: Península del Llanto,Camino principal hacia el sur.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Torre de Oridys,Puzzle de tortugas fantasma. Memoria.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Catacumbas del Empalador,Noreste de la península.
Necrolimbo (Limgrave) y Península del Llanto,Península,Ceniza,Cenizas de semihumano,Drop del jefe de catacumbas.
Necrolimbo (Limgrave) y Península del Llanto,Península,Encantamiento,Llama del frenesí,Iglesia bautismal de Callu.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Iglesia de la Peregrinación,Norte de la península.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Catacumbas de la necroondonada,Sur de la iglesia.
Necrolimbo (Limgrave) y Península del Llanto,Península,Ceniza,Cenizas de Lhutel la Decapitada,Drop del jefe (Sombra de cementerio).
Necrolimbo (Limgrave) y Península del Llanto,Península,Jefe,Avatar del Árbol Áureo,Árbol menor. Drops lágrimas para el vial.
Necrolimbo (Limgrave) y Península del Llanto,Península,Equipo,Guadaña alada,Ruinas de la necroondonada (sótano).
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Cuarta Iglesia de Marika,Oeste de la península.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Ruinas de la Perdición de la Bruja,Sótano: Sellen prisionera.
Necrolimbo (Limgrave) y Península del Llanto,Península,Lugar,Torre del retorno,Cofre trampa lleva a Leyndell (Puente Divino).
Necrolimbo (Limgrave) y Península del Llanto,Península,Talismán,Talismán de rocío bendito,En Leyndell (tras el teletransporte de la torre).
Necrolimbo (Limgrave) y Península del Llanto,Península,NPC,Ciega Hyetta,"Cerca del Lugar de Gracia ""Acantilado frente al lago"". Necesitas darle una Uva de Shabriri (objeto que suele faltar en las listas)."
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Lugar,Fuerte Haight,Este del Bosque Brumoso.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Ceniza Guerra,Corte sangriento,Caballero en la cima del fuerte.
Necrolimbo (Limgrave) y Península del Llanto,Necrolimbo,Objeto Clave,Medallón de Dectus (izq.),Torre del Fuerte Haight.
Necrolimbo (Limgrave) y Península del Llanto,Montedrago,Lugar,Santuario de la Bestia,Teletransporte desde la Tercera Iglesia de Marika (tras hablar con D).
Necrolimbo (Limgrave) y Península del Llanto,Montedrago,NPC,Clérigo Bestia (Gurranq),"Santuario de la Bestia. Dale ""Raíces Mortuorias"" (Deathroot) para obtener encantamientos de bestia y la Piedra de Forja de Dragón Antiguo."
Liurnia de los Lagos,Liurnia,Lugar,Acantilados frente al lago,Primer SoG tras salir de Velo Tormenta.
Liurnia de los Lagos,Liurnia,NPC,Hyetta,Pide uvas Shabriri. Aparece aquí primero.
Liurnia de los Lagos,Liurnia,Lugar,Iglesia de Irith,Cerca de los acantilados.
